Yêu cầu sửa đổi,Giải pháp thực hiện,Tên phiên bản,Thời gian xây dựng
Khởi tạo dự án và thiết lập nguyên tắc hoạt động toàn cục,Tạo tệp general_rules.md tại thư mục tri thức toàn cục và chuẩn bị cài đặt 5 kỹ năng tùy chỉnh cho hệ thống.,v1.0.0,2026-06-06 01:23:00
Cài đặt 5 kỹ năng tùy chỉnh phục vụ cào dữ liệu/SAP/xử lý ảnh/làm phim/phản biện,Tạo các tệp SKILL.md tương ứng tại thư mục config/skills toàn cục.,v1.1.0,2026-06-06 01:24:00
Bổ sung 6 kỹ năng xử lý dữ liệu và phát hiện bất thường số liệu,Tạo 6 tệp SKILL.md mới tại thư mục config/skills toàn cục.,v1.2.0,2026-06-06 21:44:00
Đồng bộ toàn bộ nguyên tắc hoạt động và 11 kỹ năng tùy chỉnh lên GitHub,Tạo repository rules-skill cục bộ và thực hiện git push lên GitHub tuannalawyer-bit/rules-skill.,v1.3.0,2026-06-06 21:50:00
Bổ sung nguyên tắc tương thích ký tự Tiếng Việt (Telex Unicode) và xử lý đường dẫn,Thêm nguyên tắc số 7 vào tệp general_rules.md và đồng bộ lên GitHub.,v1.4.0,2026-06-06 21:56:00
Bổ sung 4 kỹ năng chọn lọc từ Matt Pocock (diagnose/handoff/prototype/grill-me),Tải và cấu hình 4 tệp SKILL.md mới toàn cục và đồng bộ lên GitHub.,v1.5.0,2026-06-07 20:58:00
Bổ sung Mục VI về nguyên tắc kiểm duyệt an toàn khi cài đặt các skill từ GitHub,Thêm Mục VI vào tệp general_rules.md và đồng bộ lên GitHub.,v1.6.0,2026-06-07 21:05:00
Khởi tạo tệp CLAUDE.md theo chuẩn Boris Cherny cho Dự án AI,Thêm tệp CLAUDE.md vào thư mục dự án và đồng bộ lên GitHub.,v1.7.0,2026-06-07 21:50:00
Bổ sung nguyên tắc sao lưu tệp nguồn trước khi chỉnh sửa vào CLAUDE.md,Thêm quy trình tạo file .bak vào Coding Guidelines và đồng bộ lên GitHub.,v1.8.0,2026-06-08 22:45:00
Tích hợp nguyên tắc hành vi lập trình tinh gọn Karpathy vào hệ thống,Thêm Mục VII vào general_rules.md và cập nhật CLAUDE.md đồng bộ lên GitHub.,v1.9.0,2026-06-30 21:15:00
